"","PSCCOM"
"1996:03",286.593300
"1996:04",294.586499
"1996:05",306.269999
"1996:06",308.751100
"1996:07",309.213300
"1996:08",314.380500
"1996:09",309.748400
"1996:10",298.307699
"1996:11",284.842999
"1996:12",286.226999
