"","GDPM"
"1972:10",3826.554426
"1972:11",3832.572003
"1972:12",3831.214556
"1973:01",3917.737137
"1973:02",3911.343460
"1973:03",3931.106382
"1973:04",3938.584067
"1973:05",3938.139968
"1973:06",3944.184953
"1973:07",3957.386060
"1973:08",3875.340807
"1973:09",3955.441113
"1973:10",3952.423655
"1973:11",3973.412671
"1973:12",3961.501681
"1974:01",3930.325510
"1974:02",3914.816340
"1974:03",3923.958151
"1974:04",3931.959457
"1974:05",3939.295908
"1974:06",3924.584623
"1974:07",3905.996421
"1974:08",3883.630014
"1974:09",3907.145561
"1974:10",3884.415325
"1974:11",3838.072283
"1974:12",3845.772383
"1975:01",3832.478120
"1975:02",3838.129168
"1975:03",3807.678698
"1975:04",3849.600046
"1975:05",3871.801369
"1975:06",3889.676577
"1975:07",3921.989145
"1975:08",3937.314776
"1975:09",3951.464095
"1975:10",3985.791600
"1975:11",3964.842779
"1975:12",3994.833599
"1976:01",4065.007115
"1976:02",4073.502574
"1976:03",4076.840306
"1976:04",4094.319363
"1976:05",4077.750053
"1976:06",4109.302566
"1976:07",4099.851728
"1976:08",4094.133680
"1976:09",4134.420556
"1976:10",4126.022019
"1976:11",4133.101668
"1976:12",4194.772273
"1977:01",4188.802300
"1977:02",4190.540006
"1977:03",4220.425673
"1977:04",4269.333324
"1977:05",4305.159762
"1977:06",4259.245888
"1977:07",4325.518129
"1977:08",4330.859233
"1977:09",4363.024629
"1977:10",4318.743288
"1977:11",4356.674718
"1977:12",4374.169981
"1978:01",4318.721017
"1978:02",4332.196738
"1978:03",4439.717231
"1978:04",4502.043777
"1978:05",4506.601286
"1978:06",4534.433910
"1978:07",4509.609603
"1978:08",4578.646784
"1978:09",4563.950604
"1978:10",4580.266417
"1978:11",4601.938176
"1978:12",4622.993388
"1979:01",4587.960503
"1979:02",4613.642261
"1979:03",4616.600202
"1979:04",4606.489971
"1979:05",4605.806425
"1979:06",4618.423594
"1979:07",4673.199105
"1979:08",4635.409071
"1979:09",4605.836808
"1979:10",4666.026710
"1979:11",4641.694028
"1979:12",4629.488257
"1980:01",4710.431453
"1980:02",4639.503705
"1980:03",4633.775835
"1980:04",4621.898491
"1980:05",4516.310825
"1980:06",4511.220680
"1980:07",4555.292929
"1980:08",4537.531283
"1980:09",4561.776773
"1980:10",4616.690227
"1980:11",4623.336016
"1980:12",4671.384753
"1981:01",4704.734581
"1981:02",4703.000423
"1981:03",4721.821962
"1981:04",4648.180077
"1981:05",4681.833730
"1981:06",4703.301203
"1981:07",4730.374806
"1981:08",4697.047597
"1981:09",4726.548587
"1981:10",4652.923893
"1981:11",4680.170236
"1981:12",4635.923858
"1982:01",4528.132056
"1982:02",4584.172693
"1982:03",4627.521251
"1982:04",4650.074983
"1982:05",4541.450114
"1982:06",4609.709902
"1982:07",4637.605767
"1982:08",4567.039805
"1982:09",4631.560396
"1982:10",4641.531119
"1982:11",4641.651305
"1982:12",4667.382565
"1983:01",4665.346706
"1983:02",4688.469877
"1983:03",4682.089389
"1983:04",4759.046537
"1983:05",4758.394947
"1983:06",4820.179499
"1983:07",4840.591065
"1983:08",4867.616102
"1983:09",4877.601806
"1983:10",4874.318160
"1983:11",4948.833753
"1983:12",5009.841072
"1984:01",5027.856594
"1984:02",5040.964457
"1984:03",5078.140918
"1984:04",5083.423945
"1984:05",5156.578913
"1984:06",5145.984220
"1984:07",5126.200504
"1984:08",5219.858245
"1984:09",5154.220228
"1984:10",5193.293131
"1984:11",5202.609862
"1984:12",5233.670007
"1985:01",5238.262355
"1985:02",5293.554924
"1985:03",5267.965707
"1985:04",5293.015142
"1985:05",5300.300543
"1985:06",5293.513214
"1985:07",5351.101175
"1985:08",5396.215908
"1985:09",5358.539920
"1985:10",5396.363282
"1985:11",5393.257435
"1985:12",5399.585274
"1986:01",5442.570088
"1986:02",5486.036313
"1986:03",5471.115482
"1986:04",5498.813966
"1986:05",5464.118058
"1986:06",5478.494968
"1986:07",5511.735454
"1986:08",5498.478651
"1986:09",5537.593863
"1986:10",5564.819710
"1986:11",5512.921470
"1986:12",5566.016711
"1987:01",5520.470716
"1987:02",5598.404060
"1987:03",5618.452215
"1987:04",5636.519478
"1987:05",5630.888311
"1987:06",5639.282193
"1987:07",5657.810702
"1987:08",5673.118412
"1987:09",5720.557869
"1987:10",5735.489746
"1987:11",5752.704440
"1987:12",5790.975828
"1988:01",5774.887116
"1988:02",5776.299606
"1988:03",5841.731250
"1988:04",5840.748947
"1988:05",5857.370212
"1988:06",5863.249834
"1988:07",5869.908934
"1988:08",5900.305749
"1988:09",5897.538294
"1988:10",5925.093568
"1988:11",5945.180246
"1988:12",6014.884088
"1989:01",6047.320531
"1989:02",6004.267153
"1989:03",6002.987305
"1989:04",6046.003413
"1989:05",6056.793538
"1989:06",6077.753042
"1989:07",6097.853454
"1989:08",6093.539622
"1989:09",6087.991795
"1989:10",6079.993108
"1989:11",6106.051141
"1989:12",6110.748711
"1990:01",6121.541814
"1990:02",6161.667852
"1990:03",6197.925297
"1990:04",6184.135538
"1990:05",6195.896835
"1990:06",6152.084629
"1990:07",6194.505861
"1990:08",6123.493626
"1990:09",6126.130494
"1990:10",6088.333866
"1990:11",6106.784830
"1990:12",6061.671371
"1991:01",6063.077443
"1991:02",6058.227741
"1991:03",6039.214783
"1991:04",6103.325130
"1991:05",6055.152813
"1991:06",6084.577133
"1991:07",6088.662979
"1991:08",6069.521495
"1991:09",6131.261496
"1991:10",6100.787159
"1991:11",6122.527704
"1991:12",6109.589153
"1992:01",6144.721489
"1992:02",6182.337831
"1992:03",6217.715632
"1992:04",6208.396733
"1992:05",6189.089685
"1992:06",6265.531554
"1992:07",6274.642087
"1992:08",6253.532265
"1992:09",6274.975518
"1992:10",6319.749929
"1992:11",6323.017895
"1992:12",6355.093245
"1993:01",6333.805997
"1993:02",6335.890616
"1993:03",6325.099365
"1993:04",6345.592436
"1993:05",6364.524814
"1993:06",6373.777729
"1993:07",6365.265191
"1993:08",6401.137555
"1993:09",6422.642242
"1993:10",6426.716630
"1993:11",6502.658607
"1993:12",6487.781645
"1994:01",6474.354690
"1994:02",6528.638190
"1994:03",6537.606088
"1994:04",6556.151626
"1994:05",6621.952464
"1994:06",6604.399971
"1994:07",6627.489089
"1994:08",6680.590763
"1994:09",6647.982224
"1994:10",6710.191459
"1994:11",6690.974422
"1994:12",6699.971101
"1995:01",6719.111390
"1995:02",6695.559479
"1995:03",6709.211219
"1995:04",6703.506638
"1995:05",6703.264030
"1995:06",6750.516398
"1995:07",6743.244258
"1995:08",6783.335649
"1995:09",6817.410973
"1995:10",6798.432438
"1995:11",6780.322358
"1995:12",6777.648153
"1996:01",6795.916349
"1996:02",6852.086998
"1996:03",6809.148590
"1996:04",6922.415197
"1996:05",6886.281478
"1996:06",6886.968313
"1996:07",6936.338380
"1996:08",6937.792271
"1996:09",6929.659320
"1996:10",7011.914986
"1996:11",7028.336218
"1996:12",6964.671764
