"","PGDPM"
"1976:07",44.572242
"1976:08",44.805768
"1976:09",45.021991
"1976:10",45.357140
"1976:11",45.570621
"1976:12",45.872239
"1977:01",45.958164
"1977:02",46.185448
"1977:03",46.456388
"1977:04",46.761573
"1977:05",46.998728
"1977:06",47.239699
"1977:07",47.481083
"1977:08",47.746399
"1977:09",47.872519
"1977:10",48.239332
"1977:11",48.478184
"1977:12",48.782484
"1978:01",49.107306
"1978:02",49.396529
"1978:03",49.696166
"1978:04",50.206007
"1978:05",50.516140
"1978:06",50.777853
"1978:07",51.106376
"1978:08",51.334359
"1978:09",51.759265
"1978:10",52.077173
"1978:11",52.535800
"1978:12",52.887027
"1979:01",53.243353
"1979:02",53.625758
"1979:03",53.930890
"1979:04",54.379070
"1979:05",54.679556
"1979:06",55.041374
"1979:07",55.590384
"1979:08",55.773549
"1979:09",56.336067
"1979:10",56.649190
"1979:11",56.987889
"1979:12",57.362922
"1980:01",57.857786
"1980:02",58.235950
"1980:03",58.806264
"1980:04",59.359444
"1980:05",59.566212
"1980:06",59.874343
"1980:07",60.605599
"1980:08",61.042668
"1980:09",61.351732
"1980:10",62.240529
"1980:11",62.625587
"1980:12",62.933884
"1981:01",63.676419
"1981:02",64.233741
"1981:03",64.689841
"1981:04",65.060481
"1981:05",65.391056
"1981:06",65.748463
"1981:07",66.160821
"1981:08",66.421397
"1981:09",66.917782
"1981:10",67.364362
"1981:11",67.800057
"1981:12",68.235580
"1982:01",68.708546
"1982:02",68.645523
"1982:03",69.045931
"1982:04",69.454963
"1982:05",69.774566
"1982:06",70.170470
"1982:07",70.418193
"1982:08",70.636872
"1982:09",70.744934
"1982:10",71.059044
"1982:11",71.218988
"1982:12",71.621968
"1983:01",71.701342
"1983:02",71.934761
"1983:03",72.063896
"1983:04",72.529000
"1983:05",72.724879
"1983:06",72.846121
"1983:07",73.215872
"1983:08",73.414916
"1983:09",73.569212
"1983:10",73.938041
"1983:11",74.037034
"1983:12",74.324925
"1984:01",74.894063
"1984:02",75.180973
"1984:03",75.224963
"1984:04",75.647499
"1984:05",75.516444
"1984:06",75.636057
"1984:07",76.098007
"1984:08",76.271110
"1984:09",76.530883
"1984:10",76.689218
"1984:11",76.890374
"1984:12",76.820408
"1985:01",77.376842
"1985:02",77.657570
"1985:03",77.765588
"1985:04",78.036543
"1985:05",78.234452
"1985:06",78.329005
"1985:07",78.769647
"1985:08",78.860281
"1985:09",78.470072
"1985:10",79.205454
"1985:11",79.416341
"1985:12",79.578205
"1986:01",79.759166
"1986:02",79.685611
"1986:03",79.655223
"1986:04",80.002444
"1986:05",80.177095
"1986:06",80.420461
"1986:07",80.749496
"1986:08",80.870281
"1986:09",80.780224
"1986:10",81.288149
"1986:11",81.357029
"1986:12",81.554822
"1987:01",82.023593
"1987:02",82.097955
"1987:03",82.178451
"1987:04",82.723352
"1987:05",82.698222
"1987:06",82.678426
"1987:07",83.006687
"1987:08",83.285265
"1987:09",83.608048
"1987:10",83.967418
"1987:11",84.182627
"1987:12",84.149955
"1988:01",84.670045
"1988:02",84.622274
"1988:03",84.807681
"1988:04",85.334830
"1988:05",85.631659
"1988:06",85.833511
"1988:07",86.423950
"1988:08",86.755896
"1988:09",86.920154
"1988:10",87.323746
"1988:11",87.478469
"1988:12",87.697785
"1989:01",88.221075
"1989:02",88.563560
"1989:03",88.715366
"1989:04",88.973168
"1989:05",89.459676
"1989:06",89.767157
"1989:07",90.004381
"1989:08",90.166333
"1989:09",90.429286
"1989:10",90.723915
"1989:11",90.912896
"1989:12",91.063190
"1990:01",91.693067
"1990:02",91.970930
"1990:03",92.336003
"1990:04",92.824877
"1990:05",93.067731
"1990:06",93.407392
"1990:07",93.735379
"1990:08",94.060344
"1990:09",94.504277
"1990:10",94.619451
"1990:11",95.156566
"1990:12",95.523982
"1991:01",96.059369
"1991:02",96.326207
"1991:03",96.514424
"1991:04",96.753440
"1991:05",97.043610
"1991:06",97.202950
"1991:07",97.466358
"1991:08",97.675368
"1991:09",97.958274
"1991:10",98.137393
"1991:11",98.328458
"1991:12",98.434149
"1992:01",98.957175
"1992:02",99.060997
"1992:03",99.281827
"1992:04",99.705662
"1992:05",99.805910
"1992:06",99.888428
"1992:07",100.118710
"1992:08",100.253420
"1992:09",100.227870
"1992:10",100.748550
"1992:11",100.853640
"1992:12",101.097810
"1993:01",101.526560
"1993:02",101.849540
"1993:03",102.023910
"1993:04",102.414100
"1993:05",102.445270
"1993:06",102.340630
"1993:07",102.802850
"1993:08",102.708970
"1993:09",102.888180
"1993:10",103.144020
"1993:11",103.461910
"1993:12",103.594070
"1994:01",104.023200
"1994:02",104.122860
"1994:03",104.153940
"1994:04",104.526030
"1994:05",104.633380
"1994:06",104.640590
"1994:07",104.984750
"1994:08",105.195850
"1994:09",105.419400
"1994:10",105.452610
"1994:11",105.782220
"1994:12",106.165170
"1995:01",106.549650
"1995:02",106.729900
"1995:03",106.820440
"1995:04",107.185140
"1995:05",107.321300
"1995:06",107.393560
"1995:07",107.836850
"1995:08",107.899940
"1995:09",107.963210
"1995:10",108.233200
"1995:11",108.454060
"1995:12",108.542740
"1996:01",108.902240
"1996:02",108.958510
"1996:03",109.139250
"1996:04",109.375830
"1996:05",109.389400
"1996:06",109.644770
"1996:07",109.769050
"1996:08",109.945220
"1996:09",110.075730
"1996:10",110.302640
"1996:11",110.298890
"1996:12",110.418470
